Library name	Description	Tissue type code	Tissue type	Malignancy Status code	Species	"Collaborator (source RNA)"	Amount of RNA used for cloning	Protocol used	Ref
hsa_B-ALL8-d29	pre-B-ALLd29 2.5  million blasts, <5% blasts, beginning regeneration	6.1.1.2	hematopoietic system, lymphoid lineage, B lineage, pre-B-lymphoblast	2	hsa	"A.Borkhardt, arndt.borkhardt@med.uni-muenchen.de"	20	2	
hsa_B-ALL8-d43	pre-B-ALL d43 1.4 million blasts, <5% blasts	6.1.1.2	hematopoietic system, lymphoid lineage, B lineage, pre-B-lymphoblast	2	hsa	"A.Borkhardt, arndt.borkhardt@med.uni-muenchen.de"	5	2	
hsa_B-ALL9-d0	ALL from patient peripheral blood, B cells	6.1.1.2	hematopoietic system, lymphoid lineage, B lineage, pre-B-lymphoblast	2	hsa	"G Macino, macino@bce.uniroma1.it"		2	
hsa_T-ALL-Jurkat	jurkat cell line	6.1.2.1	hematopoietic system, lymphoid lineage, T lineage, T-lymphoblast	4	hsa		50	2	
hsa_T-ALL1-d0	ALL from patient peripheral blood, T cells	6.1.2.1	hematopoietic system, lymphoid lineage, T lineage, T-lymphoblast	2	hsa	"G Macino, macino@bce.uniroma1.it"		2	
hsa_T-ALL2-d0	ALL from patient peripheral blood, T cells	6.1.2.1	hematopoietic system, lymphoid lineage, T lineage, T-lymphoblast	2	hsa	"G Macino, macino@bce.uniroma1.it"		2	
hsa_T-ALL3-d0	T-ALL, 90% blasts initial (1  Mio blasts)	6.1.2.1	hematopoietic system, lymphoid lineage, T lineage, T-lymphoblast	2	hsa	"A.Borkhardt, arndt.borkhardt@med.uni-muenchen.de"	10	2	
hsa_T-ALL3-d29	T-ALL,d29 8 Mio blasts, <5% blasts	6.1.2.1	hematopoietic system, lymphoid lineage, T lineage, T-lymphoblast	2	hsa	"A.Borkhardt, arndt.borkhardt@med.uni-muenchen.de"	10	2	
hsa_T-ALL4-d0	T-ALL, 90% blasts	6.1.2.1	hematopoietic system, lymphoid lineage, T lineage, T-lymphoblast	2	hsa	"A.Borkhardt, arndt.borkhardt@med.uni-muenchen.de"	5	2	
hsa_T-ALL4-d29	T-ALL d29, 2 million blasts	6.1.2.1	hematopoietic system, lymphoid lineage, T lineage, T-lymphoblast	2	hsa	"A.Borkhardt, arndt.borkhardt@med.uni-muenchen.de"	5	2	
hsa_T-ALL5-d0	T-ALL, initial 70% blasts 10 million	6.1.2.1	hematopoietic system, lymphoid lineage, T lineage, T-lymphoblast	2	hsa	"A.Borkhardt, arndt.borkhardt@med.uni-muenchen.de"	5	2	
hsa_T-ALL5-d29	T-ALL d29 1st remission 0.5 million	6.1.2.1	hematopoietic system, lymphoid lineage, T lineage, T-lymphoblast	2	hsa	"A.Borkhardt, arndt.borkhardt@med.uni-muenchen.de"	5	2	
hsa_B-CLL-EHEB	B-CLL cell line established from 69 year old woman, EBV+	6.1.1.4	hematopoietic system, lymphoid lineage, B lineage, B-lymphocyte	4	hsa		200	2	
hsa_B-CLL-Mec2	B-CLL cell line established from 62 year old man, EBV+	6.1.1.4	hematopoietic system, lymphoid lineage, B lineage, B-lymphocyte	4	hsa		200	2	
hsa_B-CLL1	sample from B-CLL patient1 progressive, igvh mutated	6.1.1.4	hematopoietic system, lymphoid lineage, B lineage, B-lymphocyte	2	hsa	"G Macino, macino@bce.uniroma1.it"		2	
hsa_B-CLL4	sample from B-CLL patient4 stable, igvh unmutated	6.1.1.4	hematopoietic system, lymphoid lineage, B lineage, B-lymphocyte	2	hsa	"G Macino, macino@bce.uniroma1.it"		2	
hsa_B-CLL5	sample from B-CLL patient5 progressive, igvh unmutated,ZAP70+, no del13q14,del17p13, trisomy 12,del11q23	6.1.1.4	hematopoietic system, lymphoid lineage, B lineage, B-lymphocyte	2	hsa	"G Macino, macino@bce.uniroma1.it"		2	
hsa_B-CLL5_2	sample from B-CLL patient5 progressive, igvh unmutated,ZAP70+, no del13q14,del17p13, trisomy 12,del11q23	6.1.1.4	hematopoietic system, lymphoid lineage, B lineage, B-lymphocyte	2	hsa	"G Macino, macino@bce.uniroma1.it"		2	
hsa_B-CLL6	sample from B-CLL patient6 stable, igvh mutated	6.1.1.4	hematopoietic system, lymphoid lineage, B lineage, B-lymphocyte	2	hsa	"G Macino, macino@bce.uniroma1.it"		2	
hsa_B-CLL7	sample from B-CLL patient7  igvh unmutated, ZAP70+, no del13q14,del17p13, trisomy 12,del11q23	6.1.1.4	hematopoietic system, lymphoid lineage, B lineage, B-lymphocyte	2	hsa	"G Macino, macino@bce.uniroma1.it"		2	
hsa_B-CLL8	sample from B-CLL patient8 stable, igvh mutated	6.1.1.4	hematopoietic system, lymphoid lineage, B lineage, B-lymphocyte	2	hsa	"G Macino, macino@bce.uniroma1.it"		2	
hsa_B-CLL11	sample from B-CLL patient11,  stable, igvh mutated, del13q14 pos no del17p13, trisomy 12,del11q23	6.1.1.4	hematopoietic system, lymphoid lineage, B lineage, B-lymphocyte	2	hsa	"G Macino, macino@bce.uniroma1.it"		2	
hsa_B-CLL12	sample from B-CLL patient12 stable, igvh na	6.1.1.4	hematopoietic system, lymphoid lineage, B lineage, B-lymphocyte	2	hsa	"G Macino, macino@bce.uniroma1.it"		2	
hsa_B-CLL13	sample from B-CLL patient13  igvh mutated	6.1.1.4	hematopoietic system, lymphoid lineage, B lineage, B-lymphocyte	2	hsa	"G Macino, macino@bce.uniroma1.it"		2	
hsa_AML-THP1	AML FAB M5 cell line, monocytic	6.3.4.0	hematopoietic system, myeloid lineage, monocyte FAB M5	4	hsa		200	2	
hsa_AML-Kas1	Kasumi-1, with ETO-AML1 fusion protein (t(8;21), AML FAB M2 cell line, myeloblastic with differentiation	6.3.1.0	hematopoietic system, myeloid lineage, myeloblast FAB M2	4	hsa		30	2	
hsa_AML-HL60	HL-60 cell line, AML FAB M3, promyelocytic leukemia	6.3.2.0	hematopoietic system, myeloid lineage, pro-myelocyte FAB  M3	4	hsa		30	2	
hsa_AML1-d0	AML M6 40%Blasts patient sample	6.3.5.0	hematopoietic system, myeloid lineage, erythrocyte FAB M6	2	hsa	"A.Borkhardt, arndt.borkhardt@med.uni-muenchen.de"	5	2	
hsa_AML1-d29	AML M6 2.8 Mio Blasts patient sample	6.3.5.0	hematopoietic system, myeloid lineage, erythrocyte FAB M6	2	hsa	"A.Borkhardt, arndt.borkhardt@med.uni-muenchen.de"	5	2	
hsa_AML2-d0	AML 80% blasts initial (10Mio), AML M4, AF10/calm Rearrangement (t(10;11)(p12-14;q14-21))	6.3.3.0	hematopoietic system, myeloid lineage, myelomonocyte FAB M4	2	hsa	"A.Borkhardt, arndt.borkhardt@med.uni-muenchen.de"	5	2	
hsa_AML2-d29	AML d29 no remission (10Mio), AML M4, AF10/calm Rearrangement (t(10;11)(p12-14;q14-21))	6.3.3.0	hematopoietic system, myeloid lineage, myelomonocyte FAB M4	2	hsa	"A.Borkhardt, arndt.borkhardt@med.uni-muenchen.de"	5	2	
hsa_AML3-d0	AML, 90% blasts initial, AML-M4	6.3.3.0	hematopoietic system, myeloid lineage, myelomonocyte FAB M4	2	hsa	"A.Borkhardt, arndt.borkhardt@med.uni-muenchen.de"	5	2	
hsa_AML3-d29	AML, d29 10 Mio blasts, AML-M4	6.3.3.0	hematopoietic system, myeloid lineage, myelomonocyte FAB M4	2	hsa	"A.Borkhardt, arndt.borkhardt@med.uni-muenchen.de"	5	2	
hsa_Hodgkin-L428	Hodgkin Lymphoma cell line	6.1.1.9	hematopoietic system, lymphoid lineage, B lineage, Hodgkin Lymphoma cell	4	hsa	"W. Tam, wtam@med.cornell.edu"	30	2	
hsa_Hodgkin-KMH2	Hodgkin Lymphoma cell line	6.1.1.9	hematopoietic system, lymphoid lineage, B lineage, Hodgkin Lymphoma cell	4	hsa	"W. Tam, wtam@med.cornell.edu"	30	2	
hsa_Hodgkin-L591	Hodgkin Lymphoma cell line, EBV +	6.1.1.9	hematopoietic system, lymphoid lineage, B lineage, Hodgkin Lymphoma cell	4	hsa	"W. Tam, wtam@med.cornell.edu"	30	2	
hsa_Hodgkin-L1236	Hodgkin Lymphoma cell line	6.1.1.9	hematopoietic system, lymphoid lineage, B lineage, Hodgkin Lymphoma cell	4	hsa	"W. Tam, wtam@med.cornell.edu"	30	2	
hsa_BL-BCBL1-new	Latently infected with KSHV/HHV8. Cloned with alternate protocol	6.1.1.4	hematopoietic system, lymphoid lineage, B lineage, B-lymphocyte	4	hsa	"F.A. Grässer, graesser@med-rz.uni-sb.de"	200	3	
hsa_BL-BCBL1-old	Latently infected with KSHV/HHV8. Cloned with classic protocol	6.1.1.4	hematopoietic system, lymphoid lineage, B lineage, B-lymphocyte	4	hsa	"F.A. Grässer, graesser@med-rz.uni-sb.de"	200	1	
hsa_Burkitt-BL41-95-EBV	Latently infected with EBV	6.1.1.6	hematopoietic system, lymphoid lineage, B lineage, Burkitt Lymphoma cell	4	hsa	"F.A. Grässer, graesser@med-rz.uni-sb.de"	600	2	
hsa_Burkitt-BL41-mock		6.1.1.6	hematopoietic system, lymphoid lineage, B lineage, Burkitt Lymphoma cell	4	hsa	"F.A. Grässer, graesser@med-rz.uni-sb.de"	600	2	
hsa_Burkitt-Raji	Burkitt lymphoma cell line established from a 12 year old boy, EBV+	6.1.1.6	hematopoietic system, lymphoid lineage, B lineage, Burkitt Lymphoma cell	4	hsa		200	2	
hsa_Burkitt-CA-46	EBV-	6.1.1.6	hematopoietic system, lymphoid lineage, B lineage, Burkitt Lymphoma cell	4	hsa	"A.Borkhardt, arndt.borkhardt@med.uni-muenchen.de"	200	2	
hsa_Burkitt-DG-75	Burkitt lymphoma cell line established from a 10 year old boy, EBV+	6.1.1.6	hematopoietic system, lymphoid lineage, B lineage, Burkitt Lymphoma cell	4	hsa	"A.Borkhardt, arndt.borkhardt@med.uni-muenchen.de"	200	2	
hsa_Burkitt-patient1	Burkitt Lymphoma patient samples (bone marrow)	6.1.1.6	hematopoietic system, lymphoid lineage, B lineage, Burkitt Lymphoma cell	2	hsa	"A.Borkhardt, arndt.borkhardt@med.uni-muenchen.de"	2.5	2	
hsa_Burkitt-patient2	Burkitt Lymphoma patient samples (bone marrow)	6.1.1.6	hematopoietic system, lymphoid lineage, B lineage, Burkitt Lymphoma cell	2	hsa	"A.Borkhardt, arndt.borkhardt@med.uni-muenchen.de"	2.5	2	
hsa_Burkitt-patient3	Burkitt-Lymphom, t (8;14) c-myc-Rearrangement, 82-90% blasts	6.1.1.6	hematopoietic system, lymphoid lineage, B lineage, Burkitt Lymphoma cell	2	hsa	"A.Borkhardt, arndt.borkhardt@med.uni-muenchen.de"	10	2	
hsa_DLBCL-SUDHL6	DLBL cell line derived from 43 year old man, EBV- (Germinal Center)	6.1.1.7	hematopoietic system, lymphoid lineage, B lineage, large B-cell lymphoma cell	4	hsa	"W. Tam, wtam@med.cornell.edu"		2	
hsa_DLBCL-Ly1	OCI-Ly1, DLBCL cell line, relapse sample t(14;18) (Germinal Center)	6.1.1.7	hematopoietic system, lymphoid lineage, B lineage, large B-cell lymphoma cell	4	hsa	"W. Tam, wtam@med.cornell.edu"		2	
hsa_DLBCL-LY3	OCI-Ly3, relapse sample, produces IL-6 (act B cell)	6.1.1.7	hematopoietic system, lymphoid lineage, B lineage, large B-cell lymphoma cell	4	hsa	"W. Tam, wtam@med.cornell.edu"	30	1	
hsa_DLBCL-DLBL1	diffuse large B cell lymphoma(act B cell) Patient samples	6.1.1.7	hematopoietic system, lymphoid lineage, B lineage, large B-cell lymphoma cell	2	hsa	"W. Tam, wtam@med.cornell.edu"		2	
hsa_DLBCL-DLBL2	diffuse large B cell lymphoma(act B cell) Patient samples	6.1.1.7	hematopoietic system, lymphoid lineage, B lineage, large B-cell lymphoma cell	2	hsa	"W. Tam, wtam@med.cornell.edu"		2	
hsa_DLBCL-DLBL3	diffuse large B cell lymphoma(Germinal center) Patient samples	6.1.1.7	hematopoietic system, lymphoid lineage, B lineage, large B-cell lymphoma cell	2	hsa	"W. Tam, wtam@med.cornell.edu"		2	
hsa_DLBCL-DLBL4	diffuse large B cell lymphoma(Germinal center) Patient samples	6.1.1.7	hematopoietic system, lymphoid lineage, B lineage, large B-cell lymphoma cell	2	hsa	"W. Tam, wtam@med.cornell.edu"		2	
hsa_MZ-Lymphoma-MZ2	marginal zone lymphoma patient sample	6.1.1.10	hematopoietic system, lymphoid lineage, B lineage, marginal zone lymphoma cell	2	hsa	"W. Tam, wtam@med.cornell.edu"	20	2	
hsa_Follic-Lymphoma-F1	follicular Lymphoma patient sample	6.1.1.8	hematopoietic system, lymphoid lineage, B lineage, follicular lymphoma cell	2	hsa	"W. Tam, wtam@med.cornell.edu"	20	2	
hsa_Follic-Lymphoma-F2	follicular Lymphoma patient sample	6.1.1.8	hematopoietic system, lymphoid lineage, B lineage, follicular lymphoma cell	2	hsa	"W. Tam, wtam@med.cornell.edu"	20	2	
hsa_MC-Lymphoma-Granta-519	mantel cell lymphoma cell line established from relapse of a 58 year old woman, EBV+	6.1.1.5	hematopoietic system, lymphoid lineage, B lineage, mantel cell lymphoma cell	4	hsa		200	2	
hsa_MC-Lymphoma-JVM-2	mantel cell lymphoma cell line established from 63 year old woman, EBV+	6.1.1.5	hematopoietic system, lymphoid lineage, B lineage, mantel cell lymphoma cell	4	hsa		200	2	
hsa_MC-Lymphoma-Jeko-1	EBV-	6.1.1.5	hematopoietic system, lymphoid lineage, B lineage, mantel cell lymphoma cell	4	hsa		200	2	
hsa_MC-Lymphoma-M1	mantel cell lymphoma patient sample	6.1.1.5	hematopoietic system, lymphoid lineage, B lineage, mantel cell lymphoma cell	2	hsa	"W. Tam, wtam@med.cornell.edu"	20	2	
hsa_MC-Lymphoma-M2	mantel cell lymphoma patient sample	6.1.1.5	hematopoietic system, lymphoid lineage, B lineage, mantel cell lymphoma cell	2	hsa	"W. Tam, wtam@med.cornell.edu"	20	2	
hsa_Plasmocytoma-U266		6.1.1.11	hematopoietic system, lymphoid lineage, B lineage, plasmacytoma cell	4	hsa	"W. Tam, wtam@med.cornell.edu"		1	
hsa_Pituitary	pituitary gland from a 50 year old male, 2 hours post mortem	4.3.0.0	endocrine gland,  pituitary gland	1	hsa	"M. Brownstein, mike@venterinstitute.org"	100	2	
hsa_Adrenocarcinoma-SW-mock	SW13 cell line	4.1.0.0	endocrine gland,  adrenal gland	4	hsa	"C. Rice, ricec@rockefeller.edu"	600	1	Pfeffer, S., Sewer, A., Lagos-Quintana, M., Sheridan, R., Sander, C., Grasser, F. A., van Dyk, L. F., Ho, C. K., Shuman, S., Chien, M., et al. (2005). Identification of microRNAs of the herpesvirus family. advanced online publication.
hsa_Adrenocarcinoma-SW-YFV	SW13 cell line infected with Yellow Fever Virus	4.1.0.0	endocrine gland,  adrenal gland	4	hsa	"C. Rice, ricec@rockefeller.edu"	600	1	Pfeffer, S., Sewer, A., Lagos-Quintana, M., Sheridan, R., Sander, C., Grasser, F. A., van Dyk, L. F., Ho, C. K., Shuman, S., Chien, M., et al. (2005). Identification of microRNAs of the herpesvirus family. advanced online publication.
hsa_Thyroid		4.4.0.0	endocrine gland,  thyroid gland	1	hsa	"M. Brownstein, mike@venterinstitute.org"	100	2	
hsa_Pancreatic-islets		4.2.0.0	endocrine gland,  pancreatic islet	1	hsa	"M. Brownstein, mike@venterinstitute.org"	100	2	
hsa_USSC	unrestricted somatic stem cells from umbilical cord	3.1.0.0	embryo, embryonic stem cell	3	hsa	"P.Wernet, peter.wernet@uni-duesseldorf.de"	35	2	
hsa_USSC-d1	unrestricted somatic stem cells from umbilical cord induced 1 day to osteoblasts	3.1.0.0	embryo, embryonic stem cell	3	hsa	"P.Wernet, peter.wernet@uni-duesseldorf.de"	30	2	
hsa_USSC-d3	unrestricted somatic stem cells from umbilical cord induced 3 day to osteoblasts	3.1.0.0	embryo, embryonic stem cell	3	hsa	"P.Wernet, peter.wernet@uni-duesseldorf.de"	30	2	
hsa_USSC-d7	unrestricted somatic stem cells from umbilical cord induced 7 day to osteoblasts	2.2.0.0	connective tissue, bone	3	hsa	"P.Wernet, peter.wernet@uni-duesseldorf.de"	25	2	
hsa_Teratocarcinoma-NT2-norm	NT2/D1, Control	3.4.1.0	embryo, germ cell tumor, teratocarcinoma	4	hsa		200	2	
hsa_Teratocarcinoma-NT2-RA	NT2/D1, differentiation (10 µM RA) for 6 weeks	3.4.1.0	embryo, germ cell tumor, teratocarcinoma	4	hsa		200	2	
hsa_Teratocarcinoma-PA1	PA1	3.4.1.0	embryo, germ cell tumor, teratocarcinoma	4	hsa		200	2	
hsa_Seminoma-2073	NCCIT cell line	3.4.2.0	embryo, germ cell tumor, seminoma	4	hsa		200	4	
hsa_Seminoma-2073-NE1	NCCIT cell line, nuclear extract	3.4.2.0	embryo, germ cell tumor, seminoma	4	hsa		100	2	
hsa_Kidney-embryo-HEK293	HEK293 cell line	3.3.0.0	embryo, embryonic kidney cell	4	hsa			4	
hsa_Kidney-embryo-HEK293-exp	HEK293 cell line, exponential growth	3.3.0.0	embryo, embryonic kidney cell	4	hsa		100	2	
hsa_Kidney-embryo-HEK293-6d	HEK293 cell line, 6 days of growth with contact inhibition	3.3.0.0	embryo, embryonic kidney cell	4	hsa		100	2	
hsa_Kidney-embryo-HEK293-Fas12	HEK293 cell line, treated with FAS12	3.3.0.0	embryo, embryonic kidney cell	4	hsa		100	2	
hsa_Ovary	ovary from a 42 year old female, 11 hours post mortem	10.1.1.0	reproductive system, female reproductive system, ovary	1	hsa	"M. Brownstein, mike@venterinstitute.org"	100	2	
hsa_Testis	testis from a 73 year old male, 2 hours post mortem	10.2.1.0	reproductive system, male reproductive system, testis	1	hsa	"M. Brownstein, mike@venterinstitute.org"	100	2	
hsa_Uterus		10.1.2.0	reproductive system, female reproductive system, uterus	1	hsa	"M. Brownstein, mike@venterinstitute.org"	100	2	
hsa_Placenta		10.1.3.0	reproductive system, female reproductive system, placenta	1	hsa	"M. Brownstein, mike@venterinstitute.org"	50	2	
hsa_Cervix-HeLa-adh	HeLa S3, adherently grown	10.1.2.1	reproductive system, female reproductive system, uterus, cervical carcinoma cell	4	hsa		100	2	
hsa_Cervix-HeLa-susp	HeLa S3, grown in suspension	10.1.2.1	reproductive system, female reproductive system, uterus, cervical carcinoma cell	4	hsa		100	2	
hsa_Cervix-HeLa-IFNa	HeLa S3-IF alpha  treated	10.1.2.1	reproductive system, female reproductive system, uterus, cervical carcinoma cell	4	hsa		200	2	
hsa_Cervix-HeLa-IFNg	HeLa S3-IF gamma treated	10.1.2.1	reproductive system, female reproductive system, uterus, cervical carcinoma cell	4	hsa		200	2	
hsa_Cervix-HeLa-CD4	HeLa stably expressing CD4	10.1.2.1	reproductive system, female reproductive system, uterus, cervical carcinoma cell	4	hsa	"D. Ho, dho@rockefeller.edu"	600	1	
hsa_Cervix-HeLa-HIV	HeLa CD4 infected with HIV	10.1.2.1	reproductive system, female reproductive system, uterus, cervical carcinoma cell	4	hsa	"D. Ho, dho@rockefeller.edu"	600	1	
hsa_Cervix-HeLa-adh-2	HeLa S3 replica	10.1.2.1	reproductive system, female reproductive system, uterus, cervical carcinoma cell	4	hsa		50	2	
hsa_Epididymis	epididymis from a 73 year old man, 2 hours post mortem	10.2.2.0	reproductive system, male reproductive system, epididymis	1	hsa	"M. Brownstein, mike@venterinstitute.org"	100	2	
hsa_Prostata		10.2.3.0	reproductive system, male reproductive system, prostate gland	1	hsa	"M. Brownstein, mike@venterinstitute.org"	100	2	
hsa_Breast-epith-fiborcystic-MCF10A	Fibrocystic Disease. Non tumorigenic epithelial cell line. ER- ; PgR-	10.1.4.3	reproductive system, female reproductive system, breast, mammary epithelium	3	hsa	"N.Rosen, rosenn@mskcc.org"	200	2	
hsa_Breast-adenocarcinoma-MCF7	Invasive Ductal Carcinoma (IDC). Expresses WNT7B oncogene. ER+; PgR+	10.1.4.1	reproductive system, female reproductive system, breast, adenocarcinoma	4	hsa	"N.Rosen, rosenn@mskcc.org"	200	3	
hsa_Breast-duct-HCC38	IDC. Her2/neu- ; P53+. ER- ; PgR-	10.1.4.2	reproductive system, female reproductive system, breast, ductal carcinoma	4	hsa		200	2	
hsa_Breast-duct-carcinoma-SKBR3	IDC. Overexpresses Her2. ER- ; PgR-	10.1.4.2	reproductive system, female reproductive system, breast, ductal carcinoma	4	hsa	"N.Rosen, rosenn@mskcc.org"	200	3	
hsa_Breast-invasive-duct-BT474	IDC. ER+ ; PgR+	10.1.4.2	reproductive system, female reproductive system, breast, ductal carcinoma	4	hsa		200	2	
hsa_Breast-invasive-duct-T47	IDC. Expresses WNT7B oncogene. ER+ ; PgR+	10.1.4.2	reproductive system, female reproductive system, breast, ductal carcinoma	4	hsa		200	2	
hsa_Osteosarcoma-U2Os-uninduced	U2Os with EWS/WT1 fusion protein-not induced	2.2.1.0	connective tissue, bone, osteosarcoma cell	4	hsa	"M.Ladanyi, ladanyim@MSKCC.ORG"	200	2	
hsa_Osteosarcoma-U2Os-ind-24h	U2Os-EWS/WT1 fusion protein-induced	2.2.1.0	connective tissue, bone, osteosarcoma cell	4	hsa	"M.Ladanyi, ladanyim@MSKCC.ORG"	200	2	
hsa_Osteosarcoma-SAOS2		2.2.1.0	connective tissue, bone, osteosarcoma cell	4	hsa		300	1	
hsa_Ewing-Sarcoma-A673	Ewing sarcoma cell line with EWS/FLI1 fusion protein (der(22)t(11;22)(q24;q12) and der(13)t(13;11;22) fusion chromosomes)	2.2.2.0	connective tissue, bone, Ewing sarcoma cell	4	hsa	"M.Ladanyi, ladanyim@MSKCC.ORG"	200	2	
hsa_Desmo-tumor-JN-Dsrct	Dsrct with EWS/WT1 fusion protein	2.2.3.0	connective tissue, bone, desmoplastic small round cell tumor	4	hsa	"M.Ladanyi, ladanyim@MSKCC.ORG"	200	2
